file,status,report_type,format,confidence,records,valid_records,invalid_records,error,processing_duration
..\data\incoming\20250425\00001\Report_High_Value_Transactions.txt.gz,REVIEW,BR2599-01,WHITESPACE,0.80,0,0,0,,0.00
..\data\incoming\20250425\00001\Report_Maturing_Securities_lond2443.txt.gz,REVIEW,BR2443-01,WHITESPACE,0.80,0,0,0,,0.00
..\data\incoming\20250425\00001\RUPEE_DRAWING_LIST_cfpd0388.txt.gz,UNKNOWN,SY0388-01,UNKNOWN,0.00,0,0,0,,0.00
..\data\incoming\20250425\00001\Supplimentary_control_gend7484.txt.gz,REVIEW,GN7484,WHITESPACE,0.80,0,0,0,,0.00
..\data\incoming\20250425\00001\Supplimentary_control_gend7516.txt.gz,REVIEW,GN7516,WHITESPACE,0.80,0,0,0,,0.00
..\data\incoming\20250425\00001\Supplimentary_report_gend7484.txt.gz,REVIEW,GN7484,WHITESPACE,0.80,0,0,0,,0.00
..\data\incoming\20250425\00001\Transfer_Supplementary_gend7484.txt.gz,REVIEW,GN7484,WHITESPACE,0.80,0,0,0,,0.00
..\data\incoming\20250425\00001\Transfer_Supplementary_gend7516.txt.gz,REVIEW,GN7516,WHITESPACE,0.80,0,0,0,,0.00
..\data\incoming\20250425\00001\Voucher_varification_report_cfpd0331.txt.gz,REVIEW,SY0331-01,WHITESPACE,0.80,0,0,0,,0.00
..\data\incoming\20250425\00001\Voucher_varification_report_cfpd0344.txt.gz,REVIEW,SY0344-01,WHITESPACE,0.80,0,0,0,,0.00
